title,year,mileage,transmission,fuel,body_color,inside_color,body_status,description,body_type,volume,engine,acceleration,price
جک، S3,1397,"83,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"بموتور و گیربکس سالم
بیمه یکسال کامل و تمام تخفیف
لاستیک ها ۸۰ درصد",crossover,1.6 لیتر,4 سیلندر,10.8 ثانیه,"840,000,000"
پژو، 2008,1397,"80,000 km",اتوماتیک,6.7 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"ماشین بسیار سالم 
فنی ۱۰۰٪",crossover,1.6 لیتر,4 سیلندر توربوشارژ EP6,8.2 ثانیه,"1,830,000,000"
لکسوس، NX,2016,"107,000 km",اتوماتیک,7.9 لیتر در صد کیلومتر,سفید صدفی,قرمز,دو لکه رنگ,شرکت بازرگانی صابری-فول کامل 7 کلید -سفارش عمان-با سردکن-سیستم صوتی مارک لوینسون-اف اسپرت-شاسی جلو و عقب پلمپ-فروش یا معاوضه با خودرو-بازدید از ساعت 9 الی 20,crossover,2 لیتر,4 سیلندر توربوشارژ,7.2 ثانیه,"6,380,000,000"
پژو، 206,1384,"358,000 km",دنده ای,6.4 لیتر در صد کیلومتر,نقره ای,مشکی,دور رنگ,سلام، ماشین فرانسویه فنی سالم کولر روشن، لاستیک ها پارسال عوض شده،تو دری ها صندلی ها روکش صندلی خود فرمان و روکش ان تعویض شده داخل ماشین بسیار تمیز و سه روز پیش بیمه شده مبلغ بیمه ۷ میلیون شده ۱۲ ماه بیمه داره، گیربکس دنده ای,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"215,000,000"
رنو، تالیسمان,2017,"52,000 km",اتوماتیک,6.2 لیتر در صد کیلومتر,نقره ای,مشکی,بدون رنگ, خط و خش ، تحویلی از نگین خودرو ، فنی صددرصد سالم,passenger_car,1.6 لیتر,4 سیلندر توربوشارژ TCe200,7.7 ثانیه,"3,200,000,000"
دنا، پلاس EF7,1401,"51,000 km",اتوماتیک,7.8 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ, تمامی سرویس ها در نمایندگی های ایران خودرو ثبت و انجام شده باتری ماشین تازه تعویض شده دارای بیمه بدنه ۱۱ماه صندلی های راننده و‌کمک راننده ۸حرکته برقی دارای سانروف گیربکس اتومات فرمان برقی دوربین عقب مانیتور و ....,passenger_car,1.7 لیتر,4 سیلندر توربوشارژ EF7,10 ثانیه,"820,000,000"
کیا، سورنتو,2017,"130,000 km",اتوماتیک,8.8 لیتر در صد کیلومتر,سفید,مارون,کاپوت رنگ,"بدنه تماما به شرط کارشناسی فقط کاپوت رنگ به دلیل افتادن گلدان به هیچ عنوان تصادف نداشته 
کارکرد به شرط کارشناسی و نمایندگی 
فنی به شرط کارشناسی
تمامی مصرفی ها هم تعویض شده در داخل نمایندگی 
تماس پاسخگو هستم 
به خریدار واقعی تخفیف هم داده میشود 
فروش فوری",crossover,2.4 لیتر,4 سیلندر GDI,11.1 ثانیه,"4,250,000,000"
رنو، تندر 90,1391,"290,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ," دوایربگ بی وتصادف 
سند دست اول میباشد 
موتور گیربکس در سلامت کامل مصرفی ها تعویض شده 
فقط باه اندازه یه کف دست گوشه درب راننده رنگ دارد عکس قبل وبعدشم موجوده
فقط مصرف کننده فقط تماس",passenger_car,1.6 لیتر,4 سیلندر,10.2 ثانیه,"445,000,000"
پراید، صندوق دار,1382,"515,000 km",دنده ای,,آلبالویی,خاکستری,دور رنگ,بیمه کارت سوخت معاینه فنی شیشه دودی ضبط و باند  شاسی جلو تعمیر شده  درحال استفاده و سرویس دهی میباشد,passenger_car,,,,"75,000,000"
ام جی، 6,2014,"198,000 km",اتوماتیک,7.7 لیتر در صد کیلومتر,سفید,مشکی,دو لکه رنگ,تمام لوازم مصرفی ماشین تعویض شده لنت ها نو ، تسمه تایم تعویض شده ، واسکازین گیریبکس تازه تعویض شده فنی ماشین عالی لاستیک ها کره ای نو ماشین بدون خط و خش بسیار تمیز,passenger_car,1.8 لیتر,4 سیلندر توربوشارژ,9.9 ثانیه,"980,000,000"
پژو، 206,1388,"255,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,مشکی,دور رنگ, چهار تا گلگیر با یک در عقب سمت شاگرد رنگ با یک تیغه شاسی خیلی جزئی خوردگی داره روغن تازه تعویض  جعبه فرمون نو شده بلبرینگ دینام و تایم تعویض شده تسمه تایم نو شده دسته سیم موتور تازه نو شده و... هفت هشت ماه بیمه داره معاینه داره برای اطلاعات بیشتر تماس بگیرید,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"270,000,000"
ام وی ام، 110,1390,"138,000 km",دنده ای,3.7 لیتر در صد کیلومتر,نوک مدادی,کرم,یک درب رنگ,"دیسک و صفحه به تازگی تعویض شده
لنت چهار چرخ تازه تعویض شده
دو حلقه لاستیک نو
کولر یخ
دزدگیر داره
عقب جلو پلمپ",hatchback,0.8 لیتر,3 سیلندر,18.7 ثانیه,"145,000,000"
پژو، پارس,1399,"40,000 km",دنده ای,9.1 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,,passenger_car,1.8 لیتر,4 سیلندر XU7,11 ثانیه,"540,000,000"
کارا، دو کابین,1400,"85,000 km",دنده ای,8.1 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ, فنی سالم فروش فقط به صورت نقدی ,pickup,2 لیتر,4 سیلندر یورو پنج (DAE481Q),14.5 ثانیه,"685,000,000"
تیبا، هاچ بک,1401,750 km,دنده ای,6.9 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ, بیمه تا برج 12 نگه داری شده در پارکینگ مسقف  گارانتی فعال تا برج 10,hatchback,1.5 لیتر,4 سیلندر M15,13 ثانیه,"408,000,000"
کوییک، دنده ای S,1402,"40,000 km",دنده ای,7.1 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"ماشین سالم
دارای دوربین ثبت وقایع
دارای زاپاس 
دارای بیمه بدنه
دارای کنسول",hatchback,1.5 لیتر,4 سیلندر M15,13 ثانیه,"370,000,000"
رانا، پلاس پانوراما,1402,"36,000 km",دنده ای,6.8 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,آپشن ها : پانوراماـ کروز کنترل ـ سقف شیشه ای ـ بدنه سالم ـ. ایربگ سالم ـ ,passenger_car,1.6 لیتر,4 سیلندر TU5P یورو5,12 ثانیه,"530,000,000"
ساینا، S,1402,"65,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,مشکی,کاپوت رنگ,,passenger_car,1.5 لیتر,4 سیلندر M15,12.8 ثانیه,"370,000,000"
مزدا، 3 قدیم,1387,"250,000 km",اتوماتیک,8.2 لیتر در صد کیلومتر,نقره ای,مشکی,چند لکه رنگ,"موتور و گیربکس کاملا سالم هستند و به شرط می‌باشند و ماشین از لحاظ فنی کاملا سالم است.
شاسی و ستون‌ها پلمپ هستند.
بدون کوچکترین آفتاب‌سوختگی.
فقط درب عقب، گلگیر عقب و جلو سمت شاگرد رنگ دارند.
امکانات:
کروز کنترل.
۶ ایربگ.
کی‌لس با قابلیت استارت از راه دور.
گرمکن صندلی‌های جلو.
دوربین دنده‌عقب روی آینه.
رادار اطراف خودرو.
سنسور نور و باران.
آینه برقی.
سانروف ۳حالته.
لاستیک خارجی ۷۰ درصد.
روکش صندلی، فرمان و دنده چرم دوزی شده.",passenger_car,2 لیتر,4 سیلندر,10.8 ثانیه,"850,000,000"
کی ام سی، T8,1401,"29,000 km",دنده ای,,مشکی,مشکی,بدون رنگ,"سالم خانگی 
دارای لاینر، کانوپی، کفی یک‌تکه، شیشه دودی",pickup,2.0 لیتر,4 سیلندر توربوشارژ یورو5,,"1,410,000,000"
جک، جی 5,1393,"370,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,مشکی,مشکی,گلگیر تعویض,سلام یه گلگیر تعویض یکم افتاب سوختگی داره ماشین خوبی هست نسبت به قیمت ماشین های دیگه معاوضه هم دارم,passenger_car,1.8 لیتر,4 سیلندر,10.5 ثانیه,"450,000,000"
پژو، پارس,1398,"122,000 km",دنده ای,9.1 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,,passenger_car,1.8 لیتر,4 سیلندر XU7,11 ثانیه,"490,000,000"
پژو، 207,1399,"30,000 km",دنده ای,6.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,فرمون برقی و تمام سرویس ها در نمایندگی انجام شده,hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"680,000,000"
ام وی ام، 110S,1395,"12,000 km",دنده ای,4.2 لیتر در صد کیلومتر,سفید,مشکی,صافکاری بدون رنگ,,hatchback,1 لیتر,3 سیلندر,18.7 ثانیه,"320,000,000"
برلیانس، کراس,1397,"112,000 km",اتوماتیک,6.5 لیتر در صد کیلومتر,آبی,مشکی,چند لکه رنگ, کارشناسی شده درب جلو راننده رنگ شدگی جزئی درب عقب راننده لکه رنگ رکاب سمت راننده رنگ شدگی جزئی سپر عقب دارای ترک خوردگی بیمه شخص ثالث تا یکسال تا مرداد ۱۴۰۴ موتور و گیربکس سالم تخفیف پای معامله,crossover,1.65 لیتر,4 سیلندر,12.5 ثانیه,"600,000,000"
پژو، 207,1397,"25,000 km",اتوماتیک,7.1 لیتر در صد کیلومتر,مشکی,طوسی,بدون رنگ,کم کارکرد ( ماشین دوم ) سالم,hatchback,1.6 لیتر,4 سیلندر TU5,12.6 ثانیه,"740,000,000"
فیدلیتی، پرایم,1401,"5,000 km",اتوماتیک,8.1 لیتر در صد کیلومتر,سفید,قهوه ای,بدون رنگ,گیربکس جدید در حد صفر همراه کف پوش ۵بعدی و چادر خودرو,crossover,1.5 لیتر,4 سیلندر توربوشارژ (4T15C),11.9 ثانیه,"1,850,000,000"
پراید، 151,1401,"2,200 km",دنده ای,6.6 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,ماشین جهت سرمایگذاری بوده و باری جابجا نکرده کارکرد هم جهت فعال کوندن گارانتی بوده,pickup,1.3 لیتر,4 سیلندر (M13),13.4 ثانیه,"310,000,000"
پژو، 207,1398,"63,000 km",دنده ای,6.6 لیتر در صد کیلومتر,خاکستری,مشکی,بدون رنگ,,hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"600,000,000"
زامیاد، وانت نیسان,1383,"500,000 km",دنده ای,13.8 لیتر در صد کیلومتر,آبی,آبی,دور رنگ,"شاسی سالم
موتور تازه تعمیر
لاستیک جلو نو",pickup,2.4 لیتر,4 سیلندر دوگانه سوز,21 ثانیه,"285,000,000"
مزدا، 323,1384,کارکرده,اتوماتیک,8.8 لیتر در صد کیلومتر,سفید,قرمز,کامل رنگ,"موتور تازه تمیر اساسی شده
گربکس تمیر اساسی شده 
چراغ عقب و جلو نو
سپر عقب جلو اسپرت
همه چیز های کلی عوض شده
ایینه ها سالم
ظبط تصویری سالم
روکش صندلی و دور فرمان در حد نو
یکسال بیمه هم دارد
برای توضیحات بیشتر تماس بگیرید
تخفیف پای معامله هم داره
ممنون",passenger_car,1.6 لیتر,4 سیلندر,12.5 ثانیه,"495,000,000"
جیلی، GC6,1396,"130,000 km",اتوماتیک,6.1 لیتر در صد کیلومتر,قرمز,مشکی,بدون رنگ,بسیار سالم و تمیز تمام سرویس ها انجام شده توضیحات بیشتر تماس بگیرید ممنونم,passenger_car,1.5 لیتر,4 سیلندر,13.5 ثانیه,"585,000,000"
سمند، سورن,1396,"115,000 km",دنده ای,7.5 لیتر در صد کیلومتر,سفید,مشکی,صافکاری بدون رنگ,خودرو تک برگ ،کلیه قطعات مصرفی تعویض ،چهارحلقه لاستیک نو،دیسک صفحه نو ،جلوبندی و عقب بندی نو، باطری نو، لاستیک زاپاس صفر،چهار چرخ رینگ،تسمه تایم نو،لنت نو خلاصه همه چی تمام..... آماده برای مصرف کننده  در آخر تخفیف فقط برای خریدار واقعی  ,passenger_car,1.7 لیتر,4 سیلندر EF7 یورو 4,12 ثانیه,"420,000,000"
دانگ فنگ، H30 کراس,1397,"99,500 km",اتوماتیک,7.7 لیتر در صد کیلومتر,مشکی,مشکی,بدون رنگ,سند دسته اول هستش ، موتور سالم ، سرویس تسمه تایم تازه انجام شده ، شاسی عقب و جلو پلمپ,hatchback,1.6 لیتر,4 سیلندر TU5,12.5 ثانیه,"640,000,000"
ام وی ام، 315هاچ بک,1391,"190,000 km",دنده ای,6.3 لیتر در صد کیلومتر,سفید,کرم,بدون رنگ,"کارکرد واقعی 
 به شرط کارشناسی 
مصرفی ها تازه تعویض شده",hatchback,1.5 لیتر,4 سیلندر,11.8 ثانیه,"345,000,000"
ب ام و، X1,2017,"80,000 km",اتوماتیک,6.6 لیتر در صد کیلومتر,سفید,موکا,بدون رنگ,فول رادار سیستم صوتی هارمن هداپ برای هماهنگی بازدید بین ساعات 10 الی 20 تماس بگیرید.,crossover,2 لیتر,4 سیلندر توربوشارژ,6.5 ثانیه,"4,950,000,000"
دنا، پلاس EF7,1400,"89,000 km",دنده ای,7.9 لیتر در صد کیلومتر,خاکستری,مشکی,بدون رنگ,خودرو بدون تصادف و تمامی سرویس‌ها انجام شده تا اردیبهشت 404 بیمه و کارت طلایی دارد,passenger_car,1.7 لیتر,4 سیلندر EF7,13.5 ثانیه,"683,000,000"
مزدا، 3 نیو صندوق دار,1397,"75,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ, بسیار نو و کم کار و کارکرد واقعی فنی سالم و بدون هیچ‌گونه ایراد،به عنوان ماشین دوم بوده,passenger_car,2 لیتر,4 سیلندر,9.2 ثانیه,"2,140,000,000"
مزدا، 3 نیو صندوق دار,1392,"170,000 km",اتوماتیک,7.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,,passenger_car,2 لیتر,4 سیلندر,9.2 ثانیه,"1,740,000,000"
رانا، پلاس,1402,"11,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,دارای روکش صندلی چرم درو فرمان دوختنی شیشه دودی کنترل پایداری تنظیم باد گارنتی فعال سرویس تازه انجام شده بیمه تا برج ۸ ماشین همش تو پارکینگ بوده,passenger_car,1.6 لیتر,4 سیلندر TU5 یورو5,12 ثانیه,"570,000,000"
پژو، 405,1385,"510,000 km",دنده ای,9 لیتر در صد کیلومتر,نقره ای,مشکی,یک لکه رنگ,"سلام
ماشین کاملا سالم موتور به تازگی تعمیر شده.کاپوت و سقف افتاب سوختگی دارن.تعویض روغن به تازگی انجام شده و تمام سرویس های دوره ای به موقع انجام شدن
کولر روشن و خنک و به تازگی گاز شده
امپر اب ماشین روی خط اول تنظیم شده و بالاتر نمیاد(تنظیم شده که فن زود روشن شه تا واشر نزنه)
کفی سه بعدی
روکش صندلی ها به تازگی عوض شدن
دزدگیر به همراه سویچ زاپاس فابریک
ماشین کاملا خونگی",passenger_car,1.8 لیتر,4 سیلندر L3,11 ثانیه,"200,000,000"
دنا، پلاس EF7,1401,"20,000 km",اتوماتیک,7.8 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"با سلام
تمامی سرویس ها به موقع در نمایندگی با وسواس کامل انجام شده
به دلیل مهاجرت دارم میفروشم وگرنه قصد فروش نداشتم
بازدید = خرید",passenger_car,1.7 لیتر,4 سیلندر توربوشارژ EF7,10 ثانیه,"830,000,000"
پژو، 206 SD,1396,"109,000 km",دنده ای,6.6 لیتر در صد کیلومتر,سفید,مشکی,چند لکه رنگ,فنی ماشین بسیار عالی هست ،ت ماشین پارک بود و یک ماشین دیگر به ماشین برخورد میکند و درب کاپوت و گلگیر تعویض شد و درب راننده رنگ شد,passenger_car,1.6 لیتر,4 سیلندر TU5,11.4 ثانیه,"390,000,000"
آریسان، دوگانه سوز,1396,"213,000 km",دنده ای,9.2 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ, وسط کاپوت یک کف دست رنگ به خاطر افتادن آجر از بالا لاستیک ها نو لاینر کفی کمکها جلو نو موتور گیربکس سالم,pickup,1.7 لیتر,4 سیلندر دوگانه سوز (OHV G2),12.7 ثانیه,"260,000,000"
پژو، 206,1384,"360,000 km",دنده ای,6.4 لیتر در صد کیلومتر,بژ,مشکی,دور رنگ,فنی سالم و بدون خرج یک سال بیمه کامل,hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"230,000,000"
پژو، پارس,1392,"192,000 km",دنده ای,9.1 لیتر در صد کیلومتر,سفید,کرم,بدون رنگ,"بدنه و فنی کاملا سالم 
ضبط و باند و رینگ دارد
تصادف ندارد",passenger_car,1.8 لیتر,4 سیلندر XU7,11 ثانیه,"395,000,000"
پژو، 207,1396,"80,000 km",دنده ای,6.6 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,"فنی و طاهر کاملا سالم
",hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"600,000,000"
پژو، 206,1396,"142,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,"یکسال بیمه دارد 
لاستیک ۹۰٪",hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"470,000,000"
پژو، 206,1397,"120,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,طوسی,بدون رنگ,سند دست اول بیمه یکسال معاینه فنی یکسال لاستیکها نو ماشین از اول دست خودمون بوده و سالم وبدون خرج میباشد به شرط کارشناسی خواهشا مصرف کننده,hatchback,1.6 لیتر,4 سیلندر TU5,11.6 ثانیه,"485,000,000"
تیبا، هاچ بک,1398,"32,000 km",دنده ای,6.9 لیتر در صد کیلومتر,نوک مدادی,مشکی,بدون رنگ,ماشین مشابه صفر تمیز و کم کارکرد لطفا مشتری واقعی تماس بگیرد,hatchback,1.5 لیتر,4 سیلندر M15,13 ثانیه,"324,000,000"
ب ام و، سری 5 سدان,2014,"72,000 km",اتوماتیک,6.5 لیتر در صد کیلومتر,سفید,مارون,بدون رنگ,"فول تک‌کلید ابوظبی بدون نقطه مشابه صفر کارکرد به شرط شرکت 
فقط مصرف کننده نمایشگاه لطفا تماس نگیرد",passenger_car,2 لیتر,4 سیلندر توربوشارژ (N20B20),6.2 ثانیه,"7,050,000,000"
رنو، تندر 90,1395,"156,000 km",دنده ای,6.9 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,ماشین کاملا سالم و بدون هیچ تصادفی هست و تمام قطعات مصرفی به تازگی تعویض شده,passenger_car,1.6 لیتر,4 سیلندر,10.2 ثانیه,"700,000,000"
سمند، سورن,1401,"9,000 km",دنده ای,7.3 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,قابل تعویض با فیدلیتی پرایم مشکی مابه التفاوت نقدی پرداخت میگردد,passenger_car,1.7 لیتر,4 سیلندر EF7,12 ثانیه,"680,000,000"
پراید، صندوق دار,1385,"215,000 km",دنده ای,,سفید,مشکی,دو لکه رنگ,"موتور سالم 
گیربکس سالم 
کولر و بخاری روشن 
زیر بند سالم 
واکس و پولیش به تازگی شده 
کاپوت و جلو گلگیر سمت راننده رنگ شدگی دارد 
چند تیکه لیسه جزئی دارد",passenger_car,,,,"155,000,000"
دانگ فنگ، H30 کراس,1396,"135,000 km",اتوماتیک,7.7 لیتر در صد کیلومتر,سفید,مشکی,دو لکه رنگ,"تمام مصرفی ها تعویض و سرویس
بدون مشکل فنی",hatchback,1.6 لیتر,4 سیلندر TU5,12.5 ثانیه,"530,000,000"
پژو، پارس,1394,"140,000 km",دنده ای,9.1 لیتر در صد کیلومتر,سفید,قهوه ای,دور رنگ,"فنی سالم موتور تازه تعمیر 
چهار تیکه رنگ 
شاستی جلو یه ظربه ترافیکی داره بدون صافکاری",passenger_car,1.8 لیتر,4 سیلندر XU7,11 ثانیه,"350,000,000"
پژو، 206 SD,1395,"137,000 km",دنده ای,6.6 لیتر در صد کیلومتر,سفید,مشکی,چند لکه رنگ,ماشین خونگی شیشه ها دودی کفی سه بعدی فرمان چرم دوزی روکش صندلی نو (صندلی صحیح و سالم) ضبط و باند بلوتوثی فنی سالم لوازم مصرفی نو  جلوبندی نو تمامی مصرفی ها نو هستند ۴ لکه رنگ  مناسب برای مصرف کننده فقط تماس,passenger_car,1.6 لیتر,4 سیلندر TU5,11.4 ثانیه,"413,000,000"
آمیکو، دو کابین آسنا,1403,"5,000 km",دنده ای,,مشکی,مشکی,بدون رنگ,ماشین درحدصفرگارانتی فعال,pickup,,,,"1,700,000,000"
چانگان، CS 35 (مونتاژ),1396,"87,000 km",اتوماتیک,7.2 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ,کلا سند تک برگ از اول دست خودم بوده مانیتور لمسی ۱۰ اینچی  فقط به اندازه ۲۰ سانت زیر چراغ عقب سمت شاگرد رنگ شده ،سپر عقب تعویضه عکس قبل از درست کردن موجوده,crossover,1.6 لیتر,4 سیلندر,15 ثانیه,"850,000,000"
لکسوس، RX,2017,"7,500 km",اتوماتیک,8.1 لیتر در صد کیلومتر,تیتانیوم,قهوه ای,بدون رنگ,ماشین  بدون زدگی. به شرط کارشناسی. فروش فقط نقدی هست و معاوضه با ملک یا ماشین صورت نمی‌گیرد. لطفا برای سپردن به نمایشگاه تماس نگیرید. امکان بازدید با هماهنگی قبلی.,suv,2 لیتر,4 سیلندر توربوشارژ,9.5 ثانیه,"14,000,000,000"
رانا، پلاس پانوراما,1401,"34,000 km",دنده ای,6.8 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,ماشین از نظر فنی کاملا سالم بوده و هیچ ایرادی ندارد,passenger_car,1.6 لیتر,4 سیلندر TU5P یورو5,12 ثانیه,"570,000,000"
پژو، 405,1383,"230,000 km",دنده ای,9 لیتر در صد کیلومتر,نوک مدادی,مشکی,چند لکه رنگ,,passenger_car,1.8 لیتر,4 سیلندر L3,11 ثانیه,"190,000,000"
هیوندای، النترا,2014,"148,000 km",اتوماتیک,7.1 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ,"فول کامل سانروف کیلس استارتر پنج گرم کن کروز کنترل صندلی راننده برقی ۶ حالته ESP سنسور جلو و عقب سنسور نور و باران ورود بدون کلید تنظیم آینه ها و ارتفاع چراغ برقی تهویه اتوماتیک و دوال اکو درایو تلفن هندزفری فابریک آینه فتوکرومیک و دوربین عقب داخل آینه ۶ ایربگ پخش مانیتور دار بزرگ، گیرنده تلویزیون، ۱۰سال تخفیف بیمه ثالث ، یک لکه کوچک رنگ شدگی‌ بالای سپر عقب. موتور، گیربکس و فنی همه فابریک و عالی مصرفی ها تازه تعویض فروش نقدی, ماشین دو سال در پارکینگ خوابیده بوده",passenger_car,1.8 لیتر,4 سیلندر,10.5 ثانیه,"1,770,000,000"
رنو، ساندرو استپ وی,1397,"46,000 km",اتوماتیک,8 لیتر در صد کیلومتر,نقره ای,نقره ای,بدون رنگ, دارای سیستم صوتی و مانیتور و روکش صندلی چرم,hatchback,1.6 لیتر,4 سیلندر,11.5 ثانیه,"1,000,000,000"
پژو، 206 SD,1397,"87,000 km",دنده ای,6.6 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ, دارای رینگ و شیشه دودی و روکش صندلی و دور فرمون  چرم و  لاستیک ۲۰۵ هفتاد و پنج درصد به مشتری واقعی تخفیف هم داده میشود,passenger_car,1.6 لیتر,4 سیلندر TU5,11.4 ثانیه,"530,000,000"
کیا، سورنتو,2017,"70,000 km",اتوماتیک,8.8 لیتر در صد کیلومتر,سفید,مارون,بدون رنگ,تک برگ سند کارکرد واقعی- فروش یا معاوضه با خودرو برای کسب اطلاعات بیشتر لطفا از ساعت ۱۰صبح تا ۹ شب تماس بگیرید,crossover,2.4 لیتر,4 سیلندر GDI,11.1 ثانیه,"4,950,000,000"
پژو، 206,1396,"33,000 km",دنده ای,6.4 لیتر در صد کیلومتر,سفید,مشکی,بدون رنگ,"بسیار تمیز در حد صفر
کار واقعی به شرط
سند تک برگ
تماس گرفته شود",hatchback,1.4 لیتر,4 سیلندر TU3,14.1 ثانیه,"460,000,000"
ام وی ام، X55 PRO,1402,"7,800 km",اتوماتیک,,مشکی,مشکی,بدون رنگ,سرویس ها به موقع انجام شده کاملا سالم و بدون خط و خش و بیمه تا آخر اردیبهشت ۴۰۴,suv,1.5 لیتر,4 سیلندر توربوشارژ بهینه شده,,"1,450,000,000"
دنا، معمولی,1393,"165,000 km",دنده ای,7.7 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ,"سالم و بدون خط وخش
یک رنگ شدگی جزئی در گلگیر سمت راست
8 ماه بیمه 
آماده برای مصرف 
شرایط اقساط 
50 درصد کل مبلغ خودرو پیش پرداخت 
مابقی اقساط18 ماهه",passenger_car,1.7 لیتر,4 سیلندر EF7,13.5 ثانیه,"495,000,000"
برلیانس، H330,1397,"57,000 km",اتوماتیک,6.5 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ,فروش خودروی کارمندی بسیار تمیز و در شرایط عالی، مناسب مصرف‌کننده: - لاستیک‌ها در وضعیت عالی برند کمهو کره ایی ۷۰ درصد - بیمه دارد - رنگ شدگی طبق برگه‌ی کارشناسی : یه لکه رنگ ، صندوق عقب ماشین جای پلاک و کف صندوق یه تیکه کوچیک ( شاسی ها پلمپ سالم و مابقی بدون رنگ. برای کسب اطلاعات بیشتر و هماهنگی جهت بازدید، لطفاً تماس بگیرید,passenger_car,1.65 لیتر,4 سیلندر (BM16LB),13.5 ثانیه,"754,100,000"
پژو، پارس,1398,"75,000 km",دنده ای,9.1 لیتر در صد کیلومتر,سفید,قهوه ای,دو لکه رنگ,باسلام ماشین کارمندی کم کار در حد صفر یک درب و یک گلگیر به دلیل مالیدگی رنگ ، شاسی ها سالم و پلمپ ، تمام مصرفیها عوض شده بدون یک ریال خرج به شرط و کارشناسی شما لطفا فقط مصرف کننده,passenger_car,1.8 لیتر,4 سیلندر XU7,11 ثانیه,"465,000,000"
بسترن، B30,1396,"193,000 km",اتوماتیک,6.7 لیتر در صد کیلومتر,سفید,مشکی,یک لکه رنگ,"ماشین از اول دست خودم بوده 
رنگ شدگی یک لکه رنگ فقط گلگیر سمت راست 
مابغی بنده بدون رنگ 
تمامی سرویس ها توسط بهمن خودرو انجام شده 
معاوضه با ۲۰۷ صفر یا کم کارکرد",passenger_car,1.6 لیتر,4 سیلندر,12.6 ثانیه,"750,000,000"
کارا، دو کابین,1402,"14,000 km",دنده ای,8.1 لیتر در صد کیلومتر,سفید,خاکستری,بدون رنگ,,pickup,2 لیتر,4 سیلندر یورو پنج (DAE481Q),14.5 ثانیه,"800,000,000"
ب ام و، X4,2016,"93,000 km",اتوماتیک,7.4 لیتر در صد کیلومتر,سفید,قهوه ای,بدون رنگ,"فول 6 رادار
4 گرمکن
کاملا سالم بدون خط و خش
با بیمه بدنه",crossover,2 لیتر,4 سیلندر توربوشارژ (N20B20),6.4 ثانیه,"9,100,000,000"
پژو، 405,1397,"80,000 km",دنده ای,9 لیتر در صد کیلومتر,نوک مدادی,قهوه ای,یک لکه رنگ,"ماشین سالم و سلامت
باتری تازه تعویض شده
لاستیک ها نو
شیشه ها دودی
همه مصرفی ها تازه تعویض شدن",passenger_car,1.8 لیتر,4 سیلندر L3,11 ثانیه,"385,000,000"
کاپرا، دو کابین,1390,"144,000 km",دنده ای,,سفید,خاکستری,دو لکه رنگ,"فنی سالم بدون یک ریال هزینه 
اتاق بدون سرو صدا 
خوش رخ
روکش کفکش دزدگیر
بیمه ۱۰ماه 
معاینه فنی 
کولر روشن",pickup,,,,"650,000,000"
